Auteur,nb_comments,nb_likes,texte,date,nb_partages,taux d'engagement
Cabral LIBII Officiel,4 ,"89
89",Berlin a brillé ce jour aux couleurs du Cameroun: vert rouge et jaune🇨🇲!!!,11 h,9 ,
Cabral LIBII Officiel,6 ,"77
77","Levée de fonds au Meeting de Berlin avec Cabral Libii en Allemagne a donné 5800€ soit 3 800 000 FCFA. Damain nous sommes à Münster dès 18h.
Merci encore à tous, ensemble nous vaincrons.
#JVC",12 h,5 ,
Cabral LIBII Officiel,16 ,"151
151","Après Lausanne hier, nous disons un grand bravo aux compatriotes de Genève pour leur présence au meeting de ce matin, leur apport cognitif mais aussi financier …","1 septembre, 17:36",9 ,
Cabral LIBII Officiel,2 ,"8
8","M.Cabral Libii , candidat du parti Univers rencontre la communauté camerounaise de Lausanne actuellement. Ne rate pas l histoire viens rejoindre le mouvement de l avenir qui se construit devant toi !!!","31 août, 20:40",9 ,
Cabral LIBII Officiel,2 ,"103
103","Voilà ça passe ce vendredi 31 Août 2018 à Lausanne, venez nombreux écoutez le projet de société du candidat Cabral Libii candidat pour le parti Univers à présidentielle .
Heure : 17H30
Adresse : Espace Dickens 4/1004 Lausanne
Tel 0041794532541","31 août, 09:53",11 ,
Cabral LIBII Officiel,8 ,"127
127",Les États-Unis ne seront pas en reste...,"31 août, 09:50",9 ,
Cabral LIBII Officiel,10 ,"119
119",,"31 août, 09:46",16 ,
Cabral LIBII Officiel,11 ,"32
32","VOICI LES 33 QUARTIERS ET VILLAGES DE L""ARRONDISSEMENT DE YAOUNDÉ 3 SI TU RECONNAIS TON QUARTIER ET SI TU SOUHAITES DEVENIR RESPONSABLE D""ANTENNE 11 MILLIONS DE…","21 août, 19:40",6 ,
Cabral LIBII Officiel,6 ,"126
126","Une autre arène pour parler de notre projet de société. Cabral Libii démonte tout ce qu""il y a en face avec calme, pertinence et aisance. À ne surtout pas manquer!!!","21 août, 08:35",11 ,
Cabral LIBII Officiel,4 ,"40
40","Ce post concerne ceux qui vivent dans le département de l""Océan:","20 août, 22:14",3 ,
Cabral LIBII Officiel,1 ,"83
83","Chers camarades j""ai publié la liste des responsables par département dans cette plateforme. Pour retrouver ces informations quand vous le souhaiterez, il vous …","20 août, 19:07",8 ,
Cabral LIBII Officiel,36 ,"137
137",,"20 août, 09:39",19 ,
Cabral LIBII Officiel,,"37
37",Ce post concerne ceux qui résident dans le département de la MEFOU ET AKONO:,"19 août, 21:34",5 ,
Cabral LIBII Officiel,1 ,"24
24",Ce post concerne ceux qui résident dans le département du Nyong et Kéllé:,"19 août, 21:33",5 ,
Cabral LIBII Officiel,,"13
13",Only south west region citizens are concerned with this post:,"19 août, 21:32",3 ,
Cabral LIBII Officiel,,"15
15",Ce post concerne ceux qui sont dans le département du MAYO KANI:,"19 août, 21:32",2 ,
Cabral LIBII Officiel,,"15
15",Ce post concerne ceux qui résident dans le département de la MEFOU ET AFAMBA:,"19 août, 21:31",7 ,
Cabral LIBII Officiel,3 ,"89
89",Ce post concerne ceux qui vivent dans les départements du MBAM ET INOUBOU et MBAM ET KIM,"19 août, 21:31",11 ,
Cabral LIBII Officiel,1 ,"26
26",Les compatriotes qui résident dans les départements ci-dessous sont priés de contacter leurs responsables:,"19 août, 21:30",6 ,
Cabral LIBII Officiel,7 ,"21
21",Ce post concerne nos concitoyens du département du NOUN:,"19 août, 21:28",7 ,
Cabral LIBII Officiel,2 ,"34
34",Ce post concerne ceux qui vivent dans le département du NYONG ET MFOUMOU:,"19 août, 21:27",6 ,
Cabral LIBII Officiel,3 ,"52
52",Ce post concerne ceux qui vivent dans le département du MFOUNDI:,"19 août, 21:27",9 ,
Cabral LIBII Officiel,,"12
12",Les compatriotes qui résident dans les départements ci-dessous sont priés de contacter leurs responsables:,"19 août, 21:26",2 ,
Cabral LIBII Officiel,14 ,"198
198",,"19 août, 13:47",34 ,
Cabral LIBII Officiel,10 ,"86
86",En direct du quartier général de 11MC,"19 août, 09:26",14 ,
Cabral LIBII Officiel,91 ,"319
319","NOUS AVONS UN PROJET DE SOCIETE!
Je me rends compte à quel point j""ai surestimé certains...Nous n""en sommes encore qu""a l""entame du débat de fond, je lis des critiques stéréotypées, sans réplique substantielle de la part de mes adversaires politiques. Ceux-là pour qui personne ne peut faire ce que Paul Biya, n""a pu faire. Ceux pour qui ce qui n""a pas germé de leurs esprits paresseux est irrealisable... Quel gâchis!
La zone économique d""Ekok au Gabon affichait en 2015, 350…","19 août, 09:04",24 ,
Cabral LIBII Officiel,29 ,"199
199",Dans quelques minutes...,"18 août, 16:29",13 ,
Cabral LIBII Officiel,11 ,"92
92",Dégustons sans modération!!!,"15 août, 16:15",22 ,
Cabral LIBII Officiel,10 ,"106
106",Coming soon...,"14 août, 22:29",17 ,
Cabral LIBII Officiel,106 ,"423
423",🚩IMPORTANT!!!,"14 août, 18:48",64 ,
Cabral LIBII Officiel,78 ,"457
457","Parce que tous les camerounais se valent: ceux d""ici et ceux d""ailleurs, le candidat investi par le parti UNIVERS Mr Cabral Libii sera en tournée en Europe du 31 Août au 11 Septembre 2018!!!","12 août, 11:59",61 ,
Cabral LIBII Officiel,92 ,"599
599",,"7 août, 15:45",36 ,
Cabral LIBII Officiel,53 ,"200
200","Beaucoup de Citoyens m""interpellent sur la coalition. Que devons-nous faire de plus? Retrouvez notre publication sur la faisabilité des primaires dans la Tribune du Grand Sud et dans le Quotidien Mutations en JANVIER 2018!!!!!! De plus, je vous invite à regarder à nouveau notre discours du 10 FÉVRIER 2018 à la jeunesse. Notamment à partir de la 12eme minute... Nous restons le seul à avoir fait une telle déclaration DÉJÀ EN FEVRIER!!!!!!! Que faire de plus? La famille 11 Millions de Citoyens reste ouverte!","6 août, 16:20",22 ,
Cabral LIBII Officiel,62 ,"521
521","Mardi 7 août a 21h30 je serai sur canal 2 international dans le cadre de l""émission la grande interview de Jean Bruno Tagne.","5 août, 23:57",87 ,
Cabral LIBII Officiel,8 ,"150
150","J""ai appris ce jour le décès du Pr Leopold Donfack Sockeng. Je suis profondément triste. C""était un brillant juriste. Un formateur, un vrai. Paix à son âme...",1 août,1 ,
Cabral LIBII Officiel,36 ,"334
334",Vous avez été nombreux à nous proposer un slogan pour notre Mouvement. Il est là. Merci a tous.,1 août,36 ,
Cabral LIBII Officiel,36 ,"185
185","La mutualisation des volontés de changement est nécessaire. 2018 offre une opportunité d""alternance présidentielle. Les Candidatures validées par le Conseil Electoral et les autres partis qui n""auront pas fait allégeance au pouvoir d""ici là, doivent saisir cette opportunité. Il suffit de s""entendre sur l""objet de la mutualisation, convenir des modalités, instaurer un climat de confiance, fondre les ego, placer la République au dessus.
Facile à dire, si difficile à faire! Si nous en restons à ""si ce n""est pas moi, mieux on échoue tous"", il y a encore hélas, du chemin...
Et si on avait ""tranquillement"" fait les primaires",31 juillet,19 ,
Cabral LIBII Officiel,2 ,"33
33",Une très belle oeuvre,30 juillet,1 ,
